Velocity, Acceleration, Altitude, Throttle, Pressure, Heating
0.001623688,981.5443811,0.254060971,0,1.61E-07,6676.230967
0.0090406,981.5444018,1.131801264,0,4.96E-06,6676.230967
0.009040665,981.5444294,1.131857611,700,4.96E-06,6676.230967
0.009040727,981.544456,1.131912085,700,4.96E-06,6676.230967
1.601614494,1204.084263,1.13805953,724.3703704,0.155614398,5.16E-05
4.087017949,1260.465455,1.165624845,754.962963,1.013052209,0.00086287
7.130523049,1317.603087,1.220379649,785.5555556,3.082002202,0.004589011
10.73979015,1375.542039,1.307849226,816.1481481,6.98580674,0.01568539
14.99882986,1435.332608,1.436132406,847.2592593,13.60830421,0.042717009
19.94657954,1497.07037,1.613344738,878.8888889,24.02623969,0.100411245
25.62395744,1560.858824,1.848340531,911.037037,39.56026433,0.212669313
31.96620968,1625.754051,2.145443081,943.1851852,61.39126448,0.412358623
39.22293364,1693.969886,2.524622541,976.3703704,92.0910642,0.760451699
46.78728729,1698.400596,2.976342463,980,130.4670233,1.288014205
54.43266914,1693.601391,3.516385156,979,175.6707349,2.023056897
62.02480563,1688.635528,4.137693007,977.9333333,226.7262799,2.984289082
69.44517985,1683.631469,4.828092846,976.8833333,282.3265117,4.174802523
76.6955621,1678.571081,5.583273263,975.85,341.8429678,5.603304768
83.89354941,1673.358815,6.412995968,974.8166667,405.7342883,7.304351691
91.38293598,1667.719642,7.362228009,973.7333333,476.9805517,9.397170763
98.69953048,1661.987158,8.37551021,972.6666667,550.9421737,11.78180339
105.8452885,1656.169195,9.448457591,971.6166667,626.9898502,14.45484089
113.0462468,1650.083325,10.61438034,970.55,707.0718807,17.51037351
120.1876152,1643.823806,11.85606212,969.4833333,789.5272475,20.91536903
126.9378521,1637.698797,13.10930609,968.4666667,869.884382,24.48985692
133.9598781,1631.10766,14.49658912,967.4,955.5818039,28.58695186
140.9191353,1624.348141,15.95717857,966.3333333,1042.225364,33.03821295
147.8144051,1617.419357,17.49020101,965.2666667,1129.335857,37.84011208
154.6444104,1610.319292,19.09475905,964.2,1216.440563,42.98659177
161.4078223,1603.04516,20.76994528,963.1333333,1303.075655,48.46911956
168.1032662,1595.593672,22.51482177,962.0666667,1388.788926,54.27676285
174.7293268,1587.961307,24.32841894,961,1473.142214,60.39627378
181.1663503,1597.068173,26.15024562,959.9666667,1554.627467,66.70172938
187.9222322,1606.593698,28.09842549,958.9,1639.793494,73.7111594
194.5764621,1615.943518,30.05207109,957.8666667,1723.098238,81.00866144
201.560169,1625.72199,32.13813599,956.8,1809.672854,89.08810051
208.6623973,1635.630959,34.29564491,955.7333333,1896.577131,97.74595423
215.8850675,1645.672192,36.5255488,954.6666667,1983.531788,107.0053266
223.2301307,1655.847814,38.82879638,953.6,2070.243725,116.8888268
230.6995722,1666.160348,41.20634976,952.5333333,2156.406419,127.4184012
238.2954147,1676.612695,43.65916919,951.4666667,2241.70107,138.615167
245.8980309,1687.041461,46.14810851,950.4166667,2324.494464,150.3081544
253.549176,1672.779599,48.71167144,932.2705694,2404.327544,162.5353119
